year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Chevrolet,Malibu,LT,sedan,automatic,1g11e5sa4df255187,az,4.2,48171,gray,gray,"the hertz corporation",11900,12200,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
1996,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4fx58s1tc285815,tx,2,188907,silver,gray,"axcess financial",600,350,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
1999,Volkswagen,Jetta,GL,Sedan,,3vwrb81h6xm218744,wa,3,166657,black,gray,"donate for charity",325,400,Wed Jan 28 2015 04:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,suv,automatic,1fmcu9eg7ckc73405,nj,3.3,32498,gray,black,"ford motor credit company,llc",18400,16900,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
1999,,,,,automatic,2b4gp44g9xr173649,il,2.1,126385,purple,gray,"sherman dodge",925,750,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2002,Ford,Expedition,Eddie Bauer,SUV,,1fmfu18l92la26919,pa,2.6,162007,black,beige,"united acceptance",2150,750,Tue Feb 24 2015 05:01:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h75e5399429,fl,4.7,16175,—,black,"avis budget group",16150,17500,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Lexus,ES 350,Base,Sedan,automatic,jthbk1eg1c2476991,fl,3.4,54655,black,black,"lexus financial services",19850,20400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h74er320541,nv,3.7,28263,silver,black,"malco enterprise of nevada/dba budget",13450,13000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2006,Buick,Lucerne,CXS,sedan,automatic,1g4he57y26u134955,pa,3.7,47086,green,beige,"acme autos international",7175,7900,Fri Jun 05 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g11x5sl0e9295272,il,4,22564,gray,gray,"gm remarketing",16500,17000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab3en146794,nv,3.6,30753,black,black,"sc automotive world",10900,10200,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja8cr367860,fl,4.3,91621,silver,black,"wheels exchange llc",8150,9200,Wed Jan 21 2015 01:10:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,1LT,sedan,automatic,1g1pf5sc5c7372679,az,3.1,44931,silver,gray,"chapman corporate wholesale",9750,9900,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2011,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap4bl681110,tx,2.8,41455,—,gray,"nissan motor acceptance corporation",8725,8200,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k20dl336478,la,4.5,45169,red,black,"enterprise veh exchange/rental",10850,10600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1cc814709,il,3.9,31084,white,black,"nissan-infiniti lt",17100,18800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2015,Kia,Soul,Base,wagon,automatic,kndjn2a22f7749108,fl,4.2,12197,silver,black,"kia motors finance",13150,13700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap4dc276152,nj,3.6,28620,gray,black,"nissan-infiniti lt",16500,16600,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2014,Kia,Optima,LX Hybrid,Sedan,automatic,knagm4ad8e5064645,wa,4.7,9873,gray,gray,"kia motors america, inc",17450,16000,Wed Jan 14 2015 04:30:00 GMT-0800 (PST)
2014,Ram,1500,Longhorn,crew cab,,1c6rr7pt8es230507,on,4.8,34942,silver,brown,"fca canada inc",40300,41000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2012,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj3cm103182,hi,3.5,33627,silver,black,"ford motor credit company,llc",10200,8800,Wed Jan 07 2015 14:30:00 GMT-0800 (PST)
2008,Ford,F-150,STX,Regular Cab,automatic,1ftrf12228kc11291,mo,1.9,128493,white,gray,"sutton ford/ge",5425,3100,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2011,Buick,LaCrosse,CXS,Sedan,,1g4ge5ed9bf325668,pa,4.8,20944,blue,gray,"royal coast auto inc",18650,18200,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2003,Honda,CR-V,LX,SUV,automatic,jhlrd68433c018956,ca,3.8,126795,blue,black,"harold's car donation service",3725,4700,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2014,Ford,C-Max Hybrid,SEL,Wagon,automatic,1fadp5bu1el501808,mo,5,27826,black,black,"ford motor credit company",17650,17100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2005,Ford,Freestyle,SE,Wagon,automatic,1fmzk01105ga25841,tx,2.7,117043,white,gray,"dt credit corporation",2775,3300,Tue Dec 30 2014 10:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,GL-Class,GL550 4MATIC,SUV,automatic,4jgbf8ge9ca766942,fl,4.6,39025,white,brown,"mercedes-benz finc wholesale advantage",43300,45500,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fiesta,Titanium,Hatchback,automatic,3fadp4fj4em113870,fl,4.3,42848,charcoal,black,"reeves import motorcars inc",11100,11100,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha8cr370862,nj,4.4,25772,blue,black,"ford motor credit company,llc",11950,11800,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
2014,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,3gnal2ek8es619938,ca,1,15307,white,black,"enterprise vehicle exchange / tra / rental / tulsa",14600,9700,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2011,Ram,3500,ST,Crew Cab,automatic,3d73y4cl7bg634025,ca,3.6,61771,white,gray,"aaero sweet company",33500,31000,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
2008,Hyundai,Sonata,Limited V6,Sedan,automatic,5npeu46f38h367535,wa,1,117282,white,gray,"hyundai motor finance",5200,900,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2013,Dodge,Dart,SXT,Sedan,automatic,1c3cdfba2dd233164,tx,2.9,53710,silver,black,"the hertz corporation",9900,9800,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2007,Chevrolet,Cobalt,LTZ,Sedan,automatic,1g1az58fx77200426,mi,2.9,143347,black,tan,"santander consumer",2400,2350,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,,3c3cffbr5ct288586,on,2.8,50615,silver,black,"robinson buick gmc ltd",6775,8800,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2012,Toyota,Camry,XLE,sedan,automatic,4t1bk1fk3cu521658,nj,2,26727,black,gray,"h&b auto center inc",16800,15700,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk7cu072778,fl,2.6,34265,silver,black,"world omni financial corporation",14650,13700,Wed Feb 25 2015 01:10:00 GMT-0800 (PST)
2010,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7rb1gp8as160178,ca,1,69119,gray,gray,"avon rent a car",15100,12000,Tue Mar 10 2015 06:00:00 GMT-0700 (PDT)
2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe43519l037837,fl,3.6,85558,black,black,"d&a fine cars",16900,17800,Fri Jan 23 2015 01:25:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1blxd5018374,fl,2.6,6584,black,black,"lexus of north miami",35600,32100,Wed Feb 11 2015 01:35:00 GMT-0800 (PST)
2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae8dh204677,fl,4.2,33025,brown,black,"johnson lexus of raleigh",13900,14300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2011,Toyota,Camry,LE,Sedan,automatic,4t4bf3ek9br114563,nj,1.9,56872,red,gray,"toyota financial services",10600,9800,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2013,Honda,Civic,LX,Sedan,automatic,2hgfb2f5xdh500351,nv,3.8,52302,black,gray,"avis corporation",12300,12900,Fri Feb 27 2015 04:25:00 GMT-0800 (PST)
2014,Chevrolet,Equinox,LT,SUV,automatic,2gnalcek5e6100947,az,3.7,33195,red,black,"avis corporation",18450,18700,Thu Mar 05 2015 03:30:00 GMT-0800 (PST)
2011,Scion,tC,Base,Hatchback,manual,jtkjf5c74b3013241,ca,2.8,48369,gray,black,"aaero sweet company",10800,11100,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4dm760870,ga,3.4,34484,blue,gray,"the hertz corporation",21900,21001,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2012,Nissan,Pathfinder,SV,SUV,automatic,5n1ar1nb7cc615217,nv,3.3,59229,red,gray,"the hertz corporation",17800,17400,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
2005,Pontiac,Vibe,Base,wagon,automatic,5y2sl63875z418613,nc,2.9,178719,burgundy,gray,"medlin buick gmc mazda",2575,2300,Mon Jun 15 2015 02:00:00 GMT-0700 (PDT)
2012,Cadillac,SRX,Luxury,suv,,3gyfnde36cs517803,pa,3.4,58239,white,tan,"gm financial leasing",21500,20800,Thu May 28 2015 06:15:00 GMT-0700 (PDT)
2013,Nissan,Frontier,SV,Crew Cab,,1n6ad0ev5dn721126,pa,4.2,36260,white,black,"the hertz corporation",20800,20700,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2012,Ram,1500,ST,Quad Cab,automatic,1c6rd7ft6cs274700,ne,2.9,85446,white,gray,"enterprise vehicle exchange/davenport",19700,13200,Thu Jan 22 2015 02:30:00 GMT-0800 (PST)
2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag0cc156898,tn,3.6,50949,white,gray,"harold mathews nissan inc",21400,21500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2014,,,,,automatic,2lmhj5nk4ebl55993,mo,4.7,18916,black,black,"avis budget group",29700,28600,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
2012,Toyota,Venza,LE,Wagon,automatic,4t3ba3bbxcu032962,ga,4.3,35212,red,beige,"toyota financial services",16300,16200,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2011,Ford,Ranger,XL,SuperCab,,1ftkr1ed1bpa22616,nj,1.9,44075,white,black,"sutton leasing inc",10400,7700,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2012,Ford,Fusion,S,Sedan,automatic,3fahp0ga1cr118551,nj,4.3,38467,white,gray,"ford motor credit company,llc",9900,9800,Wed Jan 07 2015 09:00:00 GMT-0800 (PST)
2010,Honda,Ridgeline,RT,crew cab,automatic,5fpyk1f2xab002165,nc,3.2,70169,white,gray,"courtesy kia mitsubishi",15250,16700,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
2012,Ford,Focus,SE,Hatchback,automatic,1fahp3k23cl394312,ca,3.4,47916,silver,gray,"dtg operations inc",9175,9800,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2012,Subaru,Forester,2.5X Premium PZEV,SUV,automatic,jf2shacc6ch447775,nj,3.4,44185,white,gray,"lease plan usa",17550,17900,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2013,BMW,5 Series,528i,Sedan,automatic,wbaxg5c58ddy34513,fl,3.7,39362,black,black,"avis corporation",29500,27800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap5cn510442,fl,4.9,26730,white,beige,"nissan-infiniti lt",12050,13000,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
2013,BMW,X6,xDrive35i,SUV,automatic,5uxfg2c53dl788039,fl,4.4,33969,black,black,"financial services remarketing (lease)",40800,41500,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,Sedan,,5npdh4ae0dh282418,pa,3.3,23859,gray,gray,"hyundai motor finance",12150,12500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2009,Chevrolet,Traverse,LT1,SUV,automatic,1gnev23d99s108868,ny,3.5,122657,gray,gray,"nemer chrysler jeep dodge",9525,7800,Thu Jan 15 2015 01:45:00 GMT-0800 (PST)
2007,Ford,F-150,Lariat,SuperCrew,,1ftpw12v27kc46168,fl,2.5,128645,white,tan,"tampa truck store",10700,11200,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c59cl985049,wi,4.9,42285,black,black,"financial services remarketing (lease)",34700,34500,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
2013,Ford,F-150,XL,regular cab,automatic,1ftnf1ef8dkd83039,wa,3,37458,white,gray,"enterprise fleet management exchange",16550,15100,Wed Jun 03 2015 06:50:00 GMT-0700 (PDT)
2011,Nissan,Sentra,2.0 S,sedan,automatic,3n1ab6ap2bl661096,tx,2.6,62151,white,gray,"santander consumer",7400,6200,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2006,Cadillac,SRX,V6,SUV,automatic,1gyee637860163288,ca,2.5,121586,red,tan,"gm financial",4400,5500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxbm405330,il,3.8,38575,gray,black,"nissan infiniti lt",18050,17600,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,,1n4aa5ap4bc864938,pa,3.5,26601,silver,black,"nissan-infiniti lt",17600,16900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2010,Ford,F-250 Super Duty,XL,Crew Cab,,1ftsw2br0aea11728,ca,2.4,25620,silver,black,"remarketing by ge/manheim southern california",41800,32000,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,,1c6rd7fp3cs170507,qc,4.3,68318,gray,black,"ari",17100,17200,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2008,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a8fy58b98t214854,ca,1.9,88643,blue,gray,"santander consumer",3575,3200,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2014,Hyundai,Tucson,SE,suv,automatic,km8ju3ag1eu800243,fl,2.4,25331,gray,gray,"capital one auto finance",16400,13800,Wed Jun 17 2015 02:10:00 GMT-0700 (PDT)
2006,Chrysler,Sebring,Touring,Convertible,automatic,1c3el55r86n225915,fl,3,116029,—,gray,"santander consumer",1425,800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2013,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbg3dr735243,ga,4.6,69202,black,beige,"ge fleet services for itself/servicer",10450,10900,Tue Jan 13 2015 13:10:00 GMT-0800 (PST)
2012,Honda,Crosstour,EX-L,Hatchback,automatic,5j6tf1h54cl001277,ca,4.7,31218,white,black,"ahfc/honda lease trust/hvt, inc. eot",18750,19500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2012,GMC,Sierra 1500,SL,Extended Cab,automatic,1gtr2uea5cz150650,tn,4.8,37829,white,black,"midtown motors",19700,20100,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc181064,fl,3,23882,white,black,"nissan-infiniti lt",14050,13800,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,TDI,Sedan,,3vwll7aj6dm204841,pa,4.2,35437,white,beige,"champion mazda",16500,15500,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,LS,Sedan,automatic,1g1pa5sh1e7204602,tx,2.9,1769,black,black,"santander consumer",12700,11000,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
2002,Dodge,Stratus,R/T,Coupe,automatic,4b3ag52h42e032312,ne,4.1,84956,silver,gray,"performance toyota-scion of lavista",1275,4100,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,,salsk2d40ba710551,tn,2.1,34700,black,black,"jpmorgan chase bank,n.a.",38700,35500,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb8ed518611,tn,3.5,44220,red,black,"avis corporation",15300,14700,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae2cu304841,fl,3.9,37039,gray,gray,"hyundai motor finance",12050,11700,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2010,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcscrea2az132308,il,3.4,91667,white,black,"santander consumer",12400,9200,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2008,Dodge,Avenger,R/T,sedan,automatic,1b3lc76m18n666369,fl,2.9,109452,black,gray,"lipton toyota",5350,6100,Fri Jun 19 2015 02:20:00 GMT-0700 (PDT)
2013,Ford,Focus ST,Base,Hatchback,manual,1fadp3l92dl138318,co,3.7,31193,silver,black,"gm financial",17650,17300,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3apxdc183166,tx,4.2,19985,black,black,"nissan-infiniti lt",14450,15200,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2012,Audi,A8,L 4.2 quattro,sedan,,waurvafd9cn010751,pa,3.8,37459,blue,beige,"global motor sports inc",40700,40000,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f89eg163483,mo,3.5,36656,—,black,"ars/avis budget group",17900,17400,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
2009,Jaguar,XF,Premium Luxury,Sedan,automatic,sajwa06bx9hr27734,il,3.8,96997,white,beige,"ford-lincoln dealer program",12700,13000,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae8cu218045,az,3.8,39569,blue,beige,"consolidated asset recovery systems, inc.",10300,10200,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
2004,Lexus,RX 330,Base,suv,,2t2ha31u14c015603,pa,2.1,214717,silver,gray,"oak avenue auto sales",7100,7500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a48da097174,co,4.9,10305,silver,gray,"red noland cadillac inc.",18650,19100,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
2007,Cadillac,Escalade EXT,Base,Crew Cab,automatic,3gyfk62837g121275,tx,2.2,88179,black,tan,"hopper motorplex inc",21000,24300,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
2011,Acura,MDX,Base,SUV,automatic,2hnyd2h77bh521911,co,3.7,42034,gray,gray,"all auto imports inc",29000,30300,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
2002,Dodge,Neon,Base,Sedan,automatic,1b3es26c12d636159,tx,1.9,88005,white,gray,"credit acceptance corp/vrs/southfield",1225,1300,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2004,Ford,Ranger,Edge,regular cab,automatic,1ftyr10u54pa01448,tx,2.8,80498,blue,black,"hopper motorplex inc",5400,6600,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2011,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu4bf0bk114556,ma,3.5,125669,green,black,"harr chrysler jeep dodge",20500,18500,Thu Jan 08 2015 18:30:00 GMT-0800 (PST)
2002,Ford,Explorer,Limited,SUV,automatic,1fmdu75e22ua59433,nc,1.9,206008,black,beige,"hendrick toyota scion concord",1850,1400,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
2014,Ford,Escape,SE,SUV,automatic,1fmcu9g92euc53908,tn,4.3,29589,—,gray,"avis budget group",19050,18400,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,3gcec13j87g542444,tx,3.4,64659,black,black,"d&m leasing",16050,16400,Wed Jan 14 2015 02:15:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h72er138501,mn,5,23899,silver,black,"lease plan usa",13550,14300,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar5cm972420,nj,4.5,37334,black,beige,"nissan infiniti lt",18550,17600,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2009,Dodge,Journey,SXT,suv,automatic,3d4gg57v29t538551,tx,2.6,139347,black,black,"trey crouch's wheels on credit inc",4800,4200,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2012,Toyota,Yaris,Fleet,Sedan,automatic,jtdbt4k32c1423045,pr,3.3,26882,beige,black,"toyota credit de puerto rico",9025,10100,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
2007,Ford,F-150,FX2,SuperCab,,1ftpx12vx7kc74359,mi,3.2,79632,black,black,"stratford hyundai",10650,9400,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc122564,ca,3.6,24914,white,black,"nissan-infiniti lt",13050,14000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Edge,SE,SUV,automatic,2fmdk3gc4cba53487,nv,4.3,27279,white,beige,"ford motor credit company,llc",16600,17400,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
2012,Audi,A7,Premium quattro,Sedan,automatic,wauygafc2cn088429,ca,4.1,59295,blue,black,"rusnak westlake audi",36200,36750,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2002,Ford,F-150,XLT,supercab,,1ftrx17282nc04356,tx,1.9,185556,silver,gray,"dt inventory",2725,2000,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
2004,Toyota,Camry,LE,Sedan,manual,jtdbe32k740290124,fl,1.9,193503,white,beige,"autonation nissan delray",2800,2300,Tue May 26 2015 10:30:00 GMT-0700 (PDT)
2012,Nissan,Rogue,S,suv,automatic,jn8as5mv5cw406850,co,4.6,33863,white,black,"nissan-infiniti lt",13300,14700,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
1993,Honda,Accord,EX,Coupe,manual,1hgcb7173pa016288,fl,3,233571,brown,burgundy,"coggin honda of orlando",650,400,Thu Jun 11 2015 09:20:00 GMT-0700 (PDT)
2012,Toyota,Sienna,Base 7-Passenger,Minivan,automatic,5tdzk3dc3cs188103,fl,2,54991,red,gray,"gm financial",14800,12500,Wed Feb 11 2015 01:15:00 GMT-0800 (PST)
2014,GMC,Savana,LS 3500,Van,automatic,1gjz71fa6e1156093,fl,3,20918,white,gray,"gm remarketing",22900,22800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
2010,Mercedes-Benz,S-Class,S400 Hybrid,Sedan,automatic,wddng9fb8aa302930,ca,4.5,64200,gray,black,"century dealer services corp",30500,30000,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae6du720229,nv,3.7,48144,gray,gray,"the hertz corporation",10700,11200,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,,1n4al2ap5cc140122,pa,3.3,34619,white,black,"nissan-infiniti lt",12300,12800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2005,Toyota,Corolla,LE,Sedan,automatic,2t1br32e75c361358,nc,2.1,103502,gold,tan,"dt credit corporation",4675,5100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2006,HUMMER,H3,Base,SUV,automatic,5gtdn136x68329252,tx,4.1,100609,blue,black,"hopper motorplex inc",11300,10700,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe3ep130661,tx,2.9,30280,silver,gray,"avis corporation",12700,12500,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
2007,Chrysler,Pacifica,Base,Wagon,automatic,2a8gm48l47r297422,mi,2.3,156542,blue,gray,"credit acceptance corp/vrs/southfield",2625,2500,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2010,Ford,Transit Connect,Cargo Van XLT,minivan,automatic,nm0ls7bn6at004253,nj,2.6,188878,white,gray,"p costanzo auctioneers inc",4325,4400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2008,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu46d98u484144,fl,2.1,132875,silver,gray,"consumer portfolio services",3425,3200,Tue Jan 06 2015 18:00:00 GMT-0800 (PST)
2008,Honda,Accord,LX-P,sedan,automatic,jhmcp26448c050844,fl,2.8,94811,white,tan,"coral springs honda",8450,7200,Fri Jun 12 2015 02:30:00 GMT-0700 (PDT)
2006,Dodge,Charger,SE,Sedan,automatic,2b3ka43r66h353503,md,2.7,80425,gray,gray,"shannon auto sales",6250,6500,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2013,Ford,Taurus,SEL,sedan,,1fahp2e82dg187785,mi,3.7,32489,black,black,"ford motor credit company,llc",14300,16800,Thu Jun 18 2015 02:00:00 GMT-0700 (PDT)
2014,Kia,Sorento,LX,suv,automatic,5xyktca63eg464941,mo,4,55490,black,black,"the hertz corporation",13700,14900,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2010,Dodge,Journey,SXT,SUV,automatic,3d4pg5fv6at115557,mi,4,44967,—,black,"santander consumer",10600,9700,Thu Jan 29 2015 01:30:00 GMT-0800 (PST)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja7cr114108,va,2,100448,blue,black,"c&f finance company",8225,7000,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2003,Acura,TL,3.2 Type-S,sedan,,19uua56823a076232,tx,3.9,137764,black,beige,"united auto credit/hurst",2825,3800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
2014,BMW,4 Series,428i,Coupe,automatic,wba3n3c52ek231045,oh,4.6,4714,—,black,"bmw na manheim new jersey",34600,36250,Tue Jan 27 2015 06:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,,5npdh4ae3dh164637,pa,4.5,22910,gray,gray,"hyundai motor finance",12000,12400,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2003,Cadillac,CTS,Base,Sedan,automatic,1g6dm57n730152899,nj,1.9,140867,gray,tan,"schumacher chevrolet",2400,1200,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb4dn764462,ca,4.3,40780,silver,black,"enterprise veh exchange/rental",10600,11000,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2013,Nissan,Sentra,SV,Sedan,,3n1ab7ap3dl721587,ca,2.9,51062,gray,black,"avis corporation",10050,11200,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
