year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj3cm463908,tx,3.9,63394,gray,black,"the hertz corporation",8600,9100,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2003,Mitsubishi,Montero Sport,Limited,suv,automatic,ja4mt41r53j024249,fl,1.9,189121,black,—,"credit acceptance corp/vrs/southfield",1675,1050,Thu Jun 04 2015 10:00:00 GMT-0700 (PDT)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb3cr221656,tx,3.2,39010,black,black,"mercedes-benz financial services",19100,18250,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv0ah287602,pa,4.5,71229,white,black,"porter ford",9825,10500,Fri Jan 09 2015 09:30:00 GMT-0800 (PST)
2007,Dodge,Caliber,Base,Wagon,automatic,1b3hb28b87d507571,nc,1.9,137081,gray,gray,"primeritus remarketing / chesterfield impor",2775,2300,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
2008,Buick,Enclave,CXL,SUV,automatic,5gaev23748j271713,ne,3.9,80359,brown,tan,"dm northwest inc",13550,15200,Thu Jan 08 2015 11:00:00 GMT-0800 (PST)
2014,Dodge,Journey,SE,SUV,automatic,3c4pdcab6et202436,fl,4.7,19860,red,black,"chrysler capital",14000,14400,Tue Dec 30 2014 12:05:00 GMT-0800 (PST)
2009,Honda,Ridgeline,RTL,Crew Cab,automatic,2hjyk16599h501205,il,2.4,109642,burgundy,black,"whites auto sales llc",13750,13800,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2013,Ford,Focus,SE,Sedan,automatic,1fadp3f20dl188133,pa,2.7,20190,black,gray,"ford motor credit company,llc",11600,10000,Wed Jan 21 2015 01:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg5er430954,va,5,15875,red,black,"enterprise veh exchange/rental",19250,18700,Thu Feb 12 2015 00:45:00 GMT-0800 (PST)
2009,Dodge,Grand Caravan,SE,minivan,automatic,1d8hn44ex9b502700,ca,4.1,69621,red,gray,"california auto wholesale",6625,9500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2007,Chrysler,300,Base,sedan,automatic,2c3la43r07h893681,tx,3.4,96088,silver,gray,"regional acceptance corporation / greensboro",5850,2100,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb0e7117053,tn,4.3,41744,—,black,"avis corporation",11600,11900,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2014,Ford,Escape,SE,suv,automatic,1fmcu0gx6euc09579,co,3.8,33015,gray,black,"lease plan usa",15950,15000,Tue Jun 16 2015 05:00:00 GMT-0700 (PDT)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm8efa78409,fl,4.4,16724,—,gray,"avis budget group",23800,26000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2011,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug2b1428470,va,3.2,30173,blue,black,"jpmorgan chase bank,n.a.",9650,10400,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
2012,Ford,Focus,SEL,Hatchback,automatic,1fahp3m28cl394321,ca,3.4,47257,gray,gray,"dtg operations inc",10150,10500,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2004,Mercury,Mountaineer,Premier,SUV,automatic,4m2du86w94zj38955,mn,2.1,157975,gold,beige,"santander consumer",2625,600,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
2005,MINI,Cooper,Base,Hatchback,manual,wmwrc33475tc57256,ca,,149273,blue,black,"bmw of monrovia",2575,3000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Subaru,Outback,2.5i Premium PZEV,Wagon,automatic,4s4brbcc6d3266896,nc,3.1,114244,silver,black,"wheels exchange llc",16300,14100,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2012,Volkswagen,Passat,S PZEV,Sedan,automatic,1vwap7a37cc038536,ca,3.1,38591,white,black,"volkswagen credit inc/sc",9825,9000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Fusion Hybrid,Titanium,Sedan,automatic,3fa6p0ruxdr282137,ca,4.4,32059,black,black,"ford motor credit company,llc pd",22400,21700,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6dm302309,tn,3.7,22054,white,beige,"nissan infiniti lt",21500,22000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2011,Nissan,Maxima,3.5 SV,Sedan,,1n4aa5ap1bc867358,pa,4.3,21547,silver,black,"nissan-infiniti lt",17750,17900,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2012,Ford,F-150,XLT,SuperCab,automatic,1ftfx1ct3cke20331,tx,3.7,36969,blue,gray,"david mcdavid honda",20900,20000,Wed Jan 07 2015 10:20:00 GMT-0800 (PST)
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1cf3ckd24812,ca,3.6,45321,gray,gray,"ford motor credit company,llc pd",20700,22600,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
